COPPos,ID,
-3193.72175348278,-3844.84467628823,9,
-3194.80042459594,-3841.6405280816,9,
-3196.04890052975,-3839.92673765849,9,
-3188.57907251743,-3841.94635494942,9,
-3194.47860196281,-3843.03976810237,9,
-3186.46054488982,-3844.47148170272,9,
-3196.03111352158,-3835.54678207069,9,
-3196.57610199988,-3848.77776659683,9,
-3191.43342103453,-3845.87944525802,9,
-3194.29101013399,-3837.16945473106,9,
-3190.84961795751,-3836.53163039184,9,
-3190.26257429814,-3839.82689636121,9,
-3066.62690900599,-3952.51249299482,9,
-3066.03798067816,-3952.05068614045,9,
-3065.32183170611,-3952.93797745495,9,
-3195.82249410222,-3837.93959394714,9,
-3190.31917590502,-3840.32368228905,9,
-3080.86365611408,-3896.99859583608,9,
-3076.41172389777,-3887.78550794753,9,
-3072.17022243234,-3889.95985247808,9,
-3071.73964351809,-3890.86686951375,9,
-3060.21854219274,-3885.27768917612,9,
-3069.37307905849,-3891.90848289766,9,
-3070.90900995937,-3893.17997098432,9,
-3061.26375037502,-3949.87853317574,9,
-3188.55804492689,-3850.20948019718,9,
-3196.91571164119,-3851.75848216386,9,
-3064.42550173722,-3951.16509695457,9,
-3062.10792615129,-3950.07293654856,9,
-3194.26998254345,-3845.43257997882,9,
-3104.72514465405,-4061.86784759933,9,
-3207.25553711504,-4028.09794850629,9,
-3207.47398895612,-4051.65579121773,9,
-3209.62686695814,-4066.49411509011,9,
-3319.9016321762,-4087.86694727777,9,
-3321.40488485116,-4099.78404481994,9,
-3343.04238028219,-4098.47239465049,9,
-3149.73917099377,-4102.69342651889,9,
-3251.17051459692,-4080.51518414598,9,
-3251.25922732794,-4081.85586634198,9,
-3252.70491659049,-4089.38506455531,9,
-3168.68161116462,-4145.97150981209,9,
-3184.18588902226,-3963.88823807891,9,
-3043.80061459363,-4159.04208322744,9,
-3042.21576960088,-4145.13207724797,9,
-3045.61186601392,-4174.93923291826,9,
-3071.31539423525,-4059.1163419103,9,
-3071.55913292206,-4061.10143421358,9,
-3160.86512420677,-3800.59783989253,9,
-3072.4122183259,-4068.04925727507,9,
-3074.36212782038,-4083.92999570133,9,
-3076.43390665827,-4100.80328027923,9,
-3111.8558203887,-3546.00571584977,9,
-3073.77447363427,-3521.21383210804,11,
-3073.91364673523,-3522.20410017678,11,
-3106.09125335465,-3507.43409717865,11,
-3073.21778123043,-3517.25275983307,11,
-3074.05281983619,-3523.19436824552,11,
-3044.00190294978,-3555.54196204446,11,
-3044.00190294978,-3555.54196204446,11,
-3073.35695433139,-3518.24302790181,11,
-2734.7765903852,-3540.80791974289,12,
-2734.7765903852,-3540.80791974289,12,
-2699.62157181249,-3512.46223404578,13,
-2697.78955754315,-3470.50220873934,13,
-2698.48746774099,-3486.48698028465,13,
-2698.48746774099,-3486.48698028465,13,
-2698.48746774099,-3486.48698028465,13,
-2698.05127386734,-3476.49649806883,13,
-2783.39455799384,-3504.6186485432,14,
-2796.17687179217,-3506.9877103746,14,
-2796.17687179217,-3506.9877103746,14,
-2749.96389113667,-3498.42264067647,14,
-2665.11644617432,-3487.79813129296,14,-3149.5975924558,-4357.62085489587,15,-1609.88354689873,-3999.25775034384,16,
-2664.59295372379,-3472.80726888767,14,-3107.02311185296,-4349.9323643412,15,-1662.31187823487,-3935.6011484377,16,
-2698.00765447998,-3475.49744984725,14,-3109.33862937766,-4368.79074122239,15,
-2697.74593815578,-3469.50316051776,14,-3107.51058922658,-4353.90254894777,15,-1760.88203498756,-3821.31444037884,17,
-2694.12552900446,-3386.58215812646,14,-3108.11993594361,-4358.86527970597,15,-1766.16686522683,-3792.80004805949,17,
-3109.70423740787,-4371.76837967731,15,-1805.70668964608,-3779.62584388191,17,
-3108.24180528701,-4359.85782585762,15,-1745.20977979524,-3905.87436242934,17,
-3082.96892655733,-4502.81794529154,15,-1743.7518955913,-3913.74040168986,17,
-3109.94797609468,-4373.75347198059,15,-1847.92888881893,-3748.32439785809,17,-2623.01832968156,-3155.93212975548,18,
-3109.94797609468,-4373.75347198059,15,-1847.92888881893,-3748.32439785809,17,-2623.01832968156,-3155.93212975548,18,
-3107.63245856998,-4354.89509509941,15,-1853.37545981233,-3715.77697300736,17,-2592.39516113422,-3148.59850160606,18,
-3106.41376513593,-4344.969633583,15,-1852.05507896544,-3723.66725781966,17,-2592.5696851986,-3158.59697855762,18,
-3108.60741331723,-4362.83546431254,15,-1850.89974572442,-3730.57125703042,17,-2592.58713760503,-3159.59682625278,18,
-3109.94797609468,-4373.75347198059,15,-1849.74441248339,-3737.47525624118,17,-2622.52096766371,-3136.93864058094,18,
-3107.02311185296,-4349.9323643412,15,-1885.4817316777,-3742.2822829488,17,-2622.59949850864,-3139.93761255587,18,
-3107.8761972568,-4356.88018740269,15,-1886.73320739802,-3734.38077622404,17,-2622.44243681879,-3133.93966860602,18,
-3107.63245856998,-4354.89509509941,15,-2622.52096766371,-3136.93864058094,18,
-3107.14498119636,-4350.92491049284,15,-2322.42545058834,-3540.50801908172,18,
-3107.14498119636,-4350.92491049284,15,-2320.95056822699,-3540.23466579348,18,
-3107.14498119636,-4350.92491049284,15,-2318.98405841187,-3539.8701947425,18,
-3108.24180528701,-4359.85782585762,15,-2274.55301564054,-3561.97014784455,18,
-3108.60741331723,-4362.83546431254,15,-2484.71802017144,-3494.53102118985,18,
-3107.75432791339,-4355.88764125105,15,-2272.89289974346,-3413.97329786341,18,
-3107.9980666002,-4357.87273355433,15,-2272.2978259035,-3424.41649246758,18,
-3109.94797609468,-4373.75347198059,15,-2335.4699974352,-3546.99926255076,18,
-3108.48554397382,-4361.8429181609,15,-2310.6334860097,-3405.6038060411,18,
-3110.19171478149,-4375.73856428388,15,-2303.0653798526,-3428.05543471671,18,
-3108.48554397382,-4361.8429181609,15,-2381.99220901321,-3418.6740925282,18,
-3084.44056833631,-4515.73437941533,15,-2398.30380497531,-3439.73402621155,18,
-3086.13861654283,-4530.63795725048,15,-2536.38056783481,-3399.96912878768,18,
-3088.74229045949,-4553.49010993104,15,-2714.62724723167,-3156.33554886238,18,
-2714.88892701289,-3161.32869653615,18,
-2714.47023936294,-3153.33966025812,18,
-2714.52257531918,-3154.33828979287,18,
-2913.30970458191,-3627.79249438735,18,
-2984.82174022055,-3641.39114641994,18,
-2984.25572415171,-3636.42328714155,18,
-2758.30210947097,-3743.25386321109,18,
-2819.23193805068,-3394.68365083485,18,
-2697.5714119437,-3415.64758231688,18,
-2756.91289168047,-3408.96389957049,18,
-2793.34481182287,-3411.19217126351,18,
-2504.29559855077,-3116.72548128355,18,
-2493.11659653998,-3095.59694699889,18,
-2486.74872993627,-3074.80232650423,18,
-2739.99542200723,-3510.91305029851,18,
-2759.32581078026,-3511.25046348963,18,
-2736.22043006774,-3503.22902365113,18,
-2774.85636864719,-3510.27133779832,18,
-2651.71246880097,-3436.64042379911,18,
-2629.72033402461,-3338.08101407249,18,
-2637.59214964258,-3276.97889935143,18,
-2641.59199733483,-3276.94399320944,18,
-2711.39670931827,-3291.99377511939,18,
-2741.91314562259,-3317.44112461755,18,
-2949.49187288883,-3440.12174164332,18,
-2964.1647393328,-3337.21384345519,18,
-2968.31815731449,-3432.19483717867,18,
-2495.67927409478,-3054.69088659142,19,-3417.65985175645,-3660.08528943989,20,
-2462.75695413685,-2952.08479283692,19,
-2486.94898336097,-3044.22582686056,19,-3254.21440181642,-3650.54680687121,21,
-2434.76116408205,-3032.43144808597,19,-3253.41054994865,-3647.64586297309,21,
-2452.34509102851,-2911.8015994412,19,
-2475.32320012489,-2910.7983535318,19,-3123.23714504568,-3622.15993732863,22,
-2455.36699966775,-2891.34366611355,19,-3122.64590740117,-3618.20387387519,22,
-2480.33273803661,-2890.03526720748,19,
-2462.35740641103,-2890.97731441985,19,-3154.47811208405,-3596.10440854072,23,
