COPPos,ID,
-720.940829951402,-1106.75940015692,3,
-721.598099910703,-1104.37155985899,3,
-752.241197930744,-1093.57221856687,3,
-768.439159435138,-1100.45216170613,3,
-815.389922343417,-1094.94597775881,3,
-853.417463782951,-1090.98946792624,3,
-887.788754509681,-1074.42352441494,3,
-937.550907966167,-1067.51352173941,3,
-993.573257649752,-1072.42928550449,3,
-1025.34933566686,-1070.33099518555,3,
-1080.17262296531,-1110.49898352498,3,
-1091.745979243,-1128.65063763248,3,
-1276.19158569546,-948.152307734767,3,
-1302.42090487676,-1043.4924682856,3,
-1335.90972025245,-1031.74359599186,3,
-1405.43847450323,-1025.81270907742,3,
-1405.43847450323,-1025.81270907742,3,
-1442.8677277605,-1027.30779828624,3,
-1471.56370546923,-1023.07067001395,3,
-1512.98562684171,-1015.37000727506,3,
-1527.80060573312,-1010.76906750705,3,
-1570.17474005914,-1016.22317515894,3,
-1577.43344239993,-1023.27907443983,3,
-1626.65702376567,-1020.89925469375,3,
-1668.95118324022,-1017.51218248758,3,
-1641.77658077672,-1114.52204776692,3,
-1709.03005858271,-1099.50046948933,3,
-1901.79314937058,-903.443039941215,3,
-1961.70067248831,-870.305425229993,3,
-1964.33056646647,-891.42327207615,3,
-2000.06527283444,-832.03681457798,3,
-2040.51820885085,-766.275334699349,3,
-2056.65081451309,-747.184968550941,3,
-1856.52326416146,-882.972355937323,3,
-1860.29918650776,-878.309480168581,3,
-1881.69607980345,-851.886517479044,3,
-1899.9463711439,-829.349284596792,3,
-1952.64801694909,-803.968254051837,3,
-2015.61976075659,-727.577420296453,3,
-2031.47433287331,-666.925778652285,3,
-2084.3372457215,-601.645517889899,3,
-2096.83478015882,-542.435485107809,3,
-2152.87599857023,-450.35519093871,3,
-2126.95411640625,-437.063187707307,3,
-2110.43681277487,-386.065916485431,3,
-2080.28018648541,-354.062819547955,3,
-2043.17375793507,-330.617674169001,3,
-2032.52026731208,-320.052980215651,3,
-2023.97450623942,-308.082009896386,3,
-2017.06693119624,-293.421553687654,3,
-2023.51253251074,-283.935234337499,3,
-2032.46521026413,-271.940112119706,3,
-2003.29084305395,-239.228853569811,3,
-1997.08041017661,-223.647134794313,3,
-1981.33668952476,-194.898773698084,3,
-1963.51777508171,-167.775317408572,3,
-1934.67705916701,-130.13405746012,3,
-1778.22045727985,-102.659989067856,3,
-1785.86549411392,33.7294933081539,3,
-1724.89538074029,19.652852767902,3,
-1684.52783124575,40.4556051048392,3,
-1594.70323333518,60.345386576533,3,
-1552.71057567551,75.9223828408847,3,
-1510.45134527919,92.2854775547014,3,
-1510.45134527919,92.2854775547014,3,
-1444.74548090614,86.0701545983729,3,
-1449.55677369821,101.329625810345,3,
-1415.36048154026,93.5118335600132,3,
-1396.71631936497,126.627796858298,3,
-1348.14233832236,122.882426921663,3,
-1322.37719749492,139.219337154911,3,
-1276.65390036754,143.482866199877,3,
-1251.43074769799,158.250158256266,3,
-1119.9760352644,121.738180818542,3,
-1063.12640292272,131.799294076793,3,
-1028.62288261919,334.76947762703,3,
-967.402024834388,209.717263009597,3,
-898.170366754694,225.003197617696,3,
-827.438974218724,229.798089370962,3,
-783.78717605704,233.598723647232,3,
-743.138760862995,245.651800882208,3,
-728.640598554493,242.341039751118,3,
-714.795292164174,252.36009052075,3,
-688.53725635953,274.608769089538,3,
-673.753231053088,270.586331055312,3,
-659.898904295479,274.293449859349,3,
-630.255864593441,271.873472029999,3,
-584.329357374991,269.879584848018,3,
-557.48878486691,290.345359920961,3,
-468.409130734328,297.44239003368,3,
-439.555233132289,310.054118685266,3,
-400.200016065995,400.31551441135,3,
-336.00763119609,329.624003623952,3,
-219.562972504923,347.718490276943,3,
-202.063395365994,335.066530631898,3,
-127.814051422483,347.758262925638,3,
-54.0121356671016,335.289260471808,3,
-8.14762397396049,343.222767397713,3,
7.25845120058068,345.924162358271,3,
50.8997324639804,330.113743566402,3,
63.2475658693343,316.68678075466,3,
108.645883117419,324.463120925924,3,
124.625052614369,332.521334577226,3,
152.969804673983,330.039840143269,3,
196.388944050367,335.066193420323,3,
253.307931424051,320.627141589153,3,
302.704569222258,285.407617499787,3,
329.385238085884,266.638407381201,3,
448.949785646694,279.082882028931,3,
485.857888073542,318.138190535798,3,
596.052357690911,344.476293510685,3,
596.052357690911,344.476293510685,3,
695.708774056512,360.468630174725,3,
726.718697570528,356.701428373017,3,
764.847187987684,372.133897742926,3,
782.870894534349,378.343596050071,3,
806.359057731941,398.611969935507,3,
835.744647239962,391.949572352255,3,
867.534669676241,392.105367096077,3,
890.109303422171,410.125741104716,3,
888.976744141445,406.302285050254,3,
935.229476128063,401.239201963064,3,
951.654268518263,405.092652072055,3,
1033.39829204075,410.953923710038,3,
1108.28934038515,439.809758719263,3,
1195.37969529827,535.921488771298,3,
1200.98301339842,550.908243799272,3,
1195.12207692285,442.985302601761,3,
1194.40534102376,441.118141748766,3,
1198.34738846876,451.387526440235,3,
1340.54200476847,575.766726723698,3,
1384.16762250866,590.12263171615,3,
1396.61770801839,619.051162624947,3,
1420.62413443646,588.725691480879,3,
1424.29002707214,598.031975193927,3,
1308.86436712834,464.353124081603,3,
1379.3041498639,461.611185554355,3,
1372.52541569217,446.021164289808,3,
1382.49414241531,468.947666149436,3,
1472.47739030048,506.600759459589,3,
1549.61033343454,675.853555842626,3,
1675.29900101056,775.021002125484,3,
1620.61924088309,744.42264876307,3,
1597.30005634001,780.499101993429,3,
1602.27637525188,791.418637243947,3,
1616.50547655034,1015.82481561689,3,
1587.04623181275,1050.91867894,3,
1560.78010074615,1093.64355927331,3,
1561.45273743439,1094.4466768707,3,
1543.22011980855,1102.75724626088,3,
1533.96461941019,1128.83633759081,3,
1535.9428049481,1133.96542626042,3,
1521.29767446664,1194.3120743487,3,
1510.47129784621,1218.36533331435,3,
1469.63192627455,1158.10790929862,3,
1440.87506956115,1192.52869343442,3,
1348.15118971392,1284.25248980801,3,
1338.51640083094,1380.45405827944,3,
1286.66624661309,1414.09019176858,3,
1230.09953226395,1435.19987183034,3,
1175.34249034142,1465.57145684553,3,
1153.69852279766,1466.42822618913,3,
1132.72254922026,1463.27928352978,3,
1093.74713758997,1475.13873564182,3,
1093.8532026013,1473.04126171649,3,
1055.38889423738,1486.98306299807,3,
1039.82428622603,1503.21777558669,3,
983.076892304346,1528.04611383912,3,
970.584389323245,1562.03481768869,3,
946.249526437337,1549.38964226828,3,
907.675263005658,1569.38355309439,3,
837.520318607723,1546.01653072939,3,
794.308615139611,1537.64089196825,3,
712.012175209297,1538.35753082267,3,
688.931567182392,1640.0871966918,3,
601.242354274349,1622.19548765889,3,
577.444479262226,1602.55553662643,3,
710.189819954375,1528.52498174703,3,
454.766555199898,1608.32152030974,3,
352.48520318221,1602.22583391698,3,
351.353942109839,1583.78814437615,3,
310.701953517402,1573.34557973493,3,
311.071314151585,1576.81763692547,3,
267.966467332172,1554.23445354341,3,
268.132265193327,1563.7330066474,3,
229.100114022929,1567.10762488066,3,
186.046052632544,1544.5481544658,3,
105.617577688855,1543.42126907806,3,
25.3171653838884,1479.13233115996,3,
25.3171653838884,1479.13233115996,3,
-131.556072293854,1435.87056370912,3,
-169.328679824951,1508.66302523696,3,
-246.681376110807,1500.65145103034,3,
-324.445576212033,1499.55330145165,3,
-361.372650252461,1467.09974323033,3,
-401.631862069648,1484.26941962162,3,
-420.671588061268,1477.42093165211,3,
-441.494568131919,1481.6975527966,3,
-460.939320823859,1487.65376953485,3,
-460.939320823859,1487.65376953485,3,
-499.515797455242,1475.15279311387,3,
-519.834503738927,1479.19848450392,3,
-558.821746583659,1470.88097459247,3,
-600.33449327534,1483.79974291739,3,
-659.646184703077,1469.89165113022,3,
-718.392794802158,1457.47399728442,3,
-787.090810653676,1373.15591771922,3,
-826.43796600256,1374.18217263272,3,
-972.725781115468,1407.45186424475,3,
-1010.43538996618,1394.12649195623,3,
-1068.20429051399,1381.49717594209,3,
-1107.6624722374,1374.71189572876,3,
-1210.64979831125,1374.1577417889,3,
-1176.3540409862,1328.01004000977,3,
-1174.88895167328,1322.20631667831,3,
-1173.39447294815,1315.38373909452,3,
-1212.75963587511,1311.37496924721,3,
-1250.19699299402,1296.17512021234,3,
-1287.7177130589,1289.93087660768,3,
-1324.8685202557,1280.51384191635,3,
-1342.63698918338,1269.28545530154,3,
-1397.07987302177,1251.34306450649,3,
-1490.3037965605,1168.66606585891,3,
-1523.25429528659,1146.21811544351,3,
-1617.6642096026,1183.5104820515,3,
-1665.22073934452,1201.45977262764,3,
-1728.89791748352,1201.87417097991,3,
-1779.33867006221,1218.64287689321,3,
-1823.48286367596,1217.77399919179,3,
-1878.35368007754,1244.5598699542,3,
-1907.75119636347,1257.59642180105,3,
-1904.36345059276,1249.8164988196,3,
-1902.99193565622,1247.14347894536,3,
-1918.30351085389,1232.82612878651,3,
-1949.27555653652,1256.69255096766,3,
-1946.07454067665,1247.74502178295,3,
-1670.64671725936,1215.48735724571,3,
-2009.12236684922,1245.77622545933,3,
