footPos,ID,
-2838.38931041889,1665.91133207618,8,
3049.05616117768,-2384.97588670426,9,-2841.08872307101,1677.6037728536,8,
3039.16942666838,-2380.15380408958,9,-2839.51406569061,1670.78318240011,8,
3022.991133835,-2372.26312344738,9,-2839.51406569061,1670.78318240011,8,
3033.77666239059,-2377.52357720885,9,-2842.66338045142,1684.4243633071,8,
3043.66339689988,-2382.34565982353,9,-2839.73901674495,1671.75755246489,8,
3032.87786834429,-2377.08520606206,9,-2842.88833150576,1685.39873337189,8,
3038.27063262208,-2379.71543294279,9,-2839.28911463626,1669.80881233532,8,
3052.65133736287,-2386.72937129142,9,-2840.86377201667,1676.62940278882,8,
3052.65133736287,-2386.72937129142,9,-2840.86377201667,1676.62940278882,8,
3020.2947516961,-2370.94801000701,9,-2840.86377201667,1676.62940278882,8,
3042.76460285358,-2381.90728867674,9,-2842.21347834273,1682.47562317753,8,
3042.76460285358,-2381.90728867674,9,-2842.21347834273,1682.47562317753,8,
3037.37183857579,-2379.277061796,9,-2840.63882096232,1675.65503272403,8,
3022.0923397887,-2371.82475230059,9,-2842.88833150576,1685.39873337189,8,
3022.0923397887,-2371.82475230059,9,-2842.88833150576,1685.39873337189,8,
3034.67545643689,-2377.96194835564,9,-2842.88833150576,1685.39873337189,8,
3027.48510406649,-2374.45497918132,9,-2840.63882096232,1675.65503272403,8,
3049.05616117768,-2384.97588670426,9,-2841.98852728839,1681.50125311274,8,
3033.77666239059,-2377.52357720885,9,-2840.18891885364,1673.70629259446,8,
3033.77666239059,-2377.52357720885,9,-2840.18891885364,1673.70629259446,8,
3038.27063262208,-2379.71543294279,9,-2841.31367412536,1678.57814291839,8,
3034.67545643689,-2377.96194835564,9,-2841.08872307101,1677.6037728536,8,
3034.67545643689,-2377.96194835564,9,-2841.08872307101,1677.6037728536,8,
3022.991133835,-2372.26312344738,9,-2838.61426147323,1666.88570214097,8,
3040.06822071468,-2380.59217523637,9,-2841.31367412536,1678.57814291839,8,
3027.48510406649,-2374.45497918132,9,-2840.63882096232,1675.65503272403,8,
