COPPos,ID,,,,,
-1109.617165,1672.608279,194.902713,3693.060257,544.7544218,1511.226963,0
-1118.532547,1725.303418,211.1995051,3660.985685,543.7939797,1511.571797,0
-1131.116439,1742.719338,248.4004422,3642.430909,547.7899408,1521.275413,0
-1131.999831,1791.953269,295.8824523,3595.999187,545.5875617,1516.231794,0
-1134.606531,1829.586798,312.7776674,3554.040821,549.5301649,1525.954567,0
-1211.674172,1977.272541,340.0894642,3517.945452,548.6066949,1523.634148,0
-1144.414602,1904.625742,340.1284176,3517.439695,551.6791861,1531.017344,0
-1163.986049,1937.1981,366.6180285,3482.921329,549.4940329,1527.028332,0
-1204.727714,1997.866107,366.0830274,3478.457079,550.3124673,1526.204088,0
-1191.28008,1992.34745,394.3533706,3456.76394,544.6829979,1511.783003,0
-1183.692204,2036.9312,404.9442423,3427.683644,548.0558901,1522.771115,0
-1186.287739,2079.880854,403.2775751,3420.337255,552.6551738,1534.910095,0
-1178.958783,2097.485076,415.9525871,3405.483858,548.7306366,1524.65044,0
-1183.910632,2125.238146,413.729296,3391.671037,561.3765226,1537.472676,0
-1161.395794,2123.173421,414.5804693,3397.100236,560.3048951,1552.059466,0
-1166.248803,2148.178278,413.2758789,3385.186871,572.2882652,1584.37105,0
-1098.113209,2123.004976,413.5207696,3390.187447,581.774352,1629.094137,0
-1099.152486,2124.717954,413.6424719,3391.178633,598.6727661,1670.80285,0
-1101.842159,2129.516275,414.8928874,3398.57107,607.0008957,1692.230002,0
-1174.814972,2184.355017,401.7351575,3409.958699,601.6935815,1722.725867,0
-1175.817213,2211.449312,400.1961637,3397.568098,605.7580302,1761.849105,0
-1166.321252,2220.648626,415.844411,3395.371006,605.7334059,1791.208524,0
-1170.990219,2239.462763,429.1656172,3382.451579,604.1839584,1811.434898,0
-1180.351783,2272.207947,428.501889,3379.51532,615.2434167,1848.295936,0
-1180.120909,2271.764441,428.7398617,3379.485047,621.1370145,1865.291278,0
-1179.16888,2267.656911,429.1431176,3380.944094,628.8887467,1917.593819,0
-1183.088123,2301.408845,428.8292812,3376.956424,633.4592962,1935.542295,0
-1199.677645,2350.148611,428.526984,3378.00178,643.0035279,1999.221241,0
-1134.827251,2379.21481,428.9302399,3379.460827,661.1819012,2065.767736,0
-1154.170473,2475.126566,427.5295153,3366.54934,685.8433175,2117.584142,0
-1126.108819,2414.700419,441.4555398,3355.359909,703.6103257,2179.040825,0
-1117.031006,2422.840013,442.0200622,3358.81243,707.794005,2193.963618,0
